# Freq (Hz)	LIGO_Hanford_PSD (1/Hz)	LIGO_Livingston_PSD (1/Hz)	Virgo_PSD (1/Hz)
112.000000	9.8255500e-47	5.1978500e-47	2.4917800e-46
112.250000	9.7913000e-47	5.1937500e-47	2.4975300e-46
112.500000	9.7559000e-47	5.1898000e-47	2.5039700e-46
112.750000	9.7217000e-47	5.1856000e-47	2.5102500e-46
113.000000	9.6877000e-47	5.1820000e-47	2.5162050e-46
113.250000	9.6541500e-47	5.1779500e-47	2.5223400e-46
113.500000	9.6205500e-47	5.1741500e-47	2.5292900e-46
113.750000	9.5872000e-47	5.1703500e-47	2.5358150e-46
114.000000	9.5541500e-47	5.1661500e-47	2.5429150e-46
114.250000	9.5215000e-47	5.1625500e-47	2.5493900e-46
114.500000	9.4884000e-47	5.1592000e-47	2.5567450e-46
114.750000	9.4567500e-47	5.1555500e-47	2.5644950e-46
115.000000	9.4249500e-47	5.1520500e-47	2.5727050e-46
115.250000	9.3932500e-47	5.1486500e-47	2.5811550e-46
115.500000	9.3615500e-47	5.1455500e-47	2.5890050e-46
115.750000	9.3302500e-47	5.1424000e-47	2.5969650e-46
116.000000	9.2997500e-47	5.1387000e-47	2.6051000e-46
116.250000	9.2695000e-47	5.1354000e-47	2.6136450e-46
116.500000	9.2395000e-47	5.1317000e-47	2.6221800e-46
116.750000	9.2094000e-47	5.1280500e-47	2.6311400e-46
117.000000	9.1798500e-47	5.1248500e-47	2.6398400e-46
117.250000	9.1496000e-47	5.1215500e-47	2.6489600e-46
117.500000	9.1200500e-47	5.1182000e-47	2.6575100e-46
117.750000	9.0905000e-47	5.1146000e-47	2.6665300e-46
118.000000	9.0615000e-47	5.1113500e-47	2.6763050e-46
118.250000	9.0328500e-47	5.1083000e-47	2.6852100e-46
118.500000	9.0043500e-47	5.1054500e-47	2.6945700e-46
118.750000	8.9759500e-47	5.1025000e-47	2.7042950e-46
119.000000	8.9477000e-47	5.0999500e-47	2.7142450e-46
119.250000	8.9197000e-47	5.0975500e-47	2.7240150e-46
119.500000	8.8923000e-47	5.0948500e-47	2.7340150e-46
119.750000	8.8648500e-47	5.0921000e-47	2.7442350e-46
120.000000	8.8378500e-47	5.0887000e-47	2.7549400e-46
120.250000	8.8105500e-47	5.0856500e-47	2.7654600e-46
120.500000	8.7837500e-47	5.0833500e-47	2.7758050e-46
120.750000	8.7566500e-47	5.0805500e-47	2.7855950e-46
121.000000	8.7307500e-47	5.0774000e-47	2.7963850e-46
121.250000	8.7045000e-47	5.0750500e-47	2.8074150e-46
121.500000	8.6786500e-47	5.0729000e-47	2.8180400e-46
121.750000	8.6528500e-47	5.0704500e-47	2.8292650e-46
122.000000	8.6276000e-47	5.0679500e-47	2.8410000e-46
122.250000	8.6018000e-47	5.0655000e-47	2.8524150e-46
